City,Pickup Location,Drop Location,Distance (km),Vehicle Type,Estimated Duration (min),Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude,Pickup Area Type,Drop Area Type,Weather Condition,Temperature Level,Rainfall Intensity,Traffic Level,Road Type,Number of Stops Added,Time Slot,Day Type,Holiday,Busy Day,Trip Date,Fare (Target)
Bangalore,Orion Mall,Silk Board Junction,387.99,Auto,1079.8,13.0108,77.5551,12.9172,77.6228,Mall,Commercial,Clear,Very Hot,,Moderate,City Road,0.0,Evening,Weekday,No,Normal,7/24/2025,4248
Hyderabad,Warangal City Centre,Jubilee Hills,333.14,SUV,244.1,17.9689,79.5941,17.4326,78.4071,Residential,Residential,Cloudy,Warm,,Moderate,Expressway,2.0,Morning Rush,Weekday,Yes,Normal,9/5/2025,5904
Chennai,Tidel Park,AG-DMS Metro Station,85.72,Mini,207.4,12.9889,80.2437,13.0475,80.2437,IT Park,Metro Station,Clear,Cold,,Moderate,City Road,0.0,Night,Weekend,Yes,Normal,2/15/2025,1141
Pune,Wakad,Pune Railway Station,73.55,SUV,57.6,18.598,73.7629,18.5285,73.8744,Residential,Railway Station,Heavy Rain,Cold,Moderate,High,Expressway,0.0,Late Night,Weekday,Yes,Public Holiday,7/1/2025,1934
Chennai,Koyambedu (CMBT) Bus Stand,Express Avenue Mall,74.18,Auto,56.7,13.07,80.1959,13.0594,80.2599,Bus Stand,Mall,Cloudy,Warm,,Low,Expressway,0.0,Morning Rush,Weekday,No,Normal,7/14/2025,1124
Mumbai -> Pune,Dadar Railway Station,Baner,122.39,Auto,151.9,19.0186,72.844,18.5596,73.7768,Railway Station,Residential,Clear,Hot,,Severe,Highway,0.0,Night,Weekday,Yes,Normal,10/22/2025,1658
Delhi,Select Citywalk Mall Saket (nearby),New Delhi Railway Station,210.38,SUV,203.8,28.5408,77.233,28.643,77.2194,Mall,Railway Station,Cloudy,Cold,,Moderate,Highway,1.0,Midday,Weekday,Yes,Normal,2/7/2025,3927
Hyderabad,HITEC City,Gachibowli IT Park,173.35,Premium,176.3,17.4483,78.3915,17.4401,78.3489,IT Park,IT Park,Rain,Cold,Moderate,High,Highway,3.0,Late Night,Weekday,Yes,Normal,10/15/2025,4924
Delhi,Rohini,Connaught Place,117.2,Sedan,268.9,28.7495,77.0565,28.6315,77.2167,Residential,Commercial,Heavy Rain,Cold,Heavy,Low,City Road,2.0,Late Night,Weekday,No,Normal,2/27/2025,2170
Hyderabad,Banjara Hills (nearby),Gachibowli IT Park (nearby),245.13,Auto,546.2,17.4182,78.4231,17.4298,78.3343,Residential,IT Park,Cloudy,Pleasant,,Low,City Road,2.0,Evening Rush,Weekend,Yes,Normal,10/19/2025,2795
Bangalore,Electronic City,Byappanahalli Metro Station,56.66,Mini,190.1,12.8452,77.6602,12.9915,77.6376,IT Park,Metro Station,Rain,Cold,Light,High,City Road,1.0,Night,Weekday,No,Normal,1/8/2025,1091
Pune,Phoenix Marketcity Mall (nearby),Phoenix Marketcity Mall,117.57,Comfort,106.3,18.5544,73.9268,18.561,73.9169,Mall,Mall,Clear,Warm,,Moderate,Highway,1.0,Midday,Weekend,No,Normal,11/9/2025,1827
Bangalore,Indiranagar,MG Road Metro Station,147.18,Auto,471.6,12.9719,77.6412,12.9757,77.608,Residential,Metro Station,Cloudy,Pleasant,,High,City Road,0.0,Late Night,Weekend,Yes,Normal,12/27/2025,1772
Hyderabad,Gachibowli IT Park,Secunderabad Railway Station,182.97,Mini,127.3,17.4401,78.3489,17.4344,78.5017,IT Park,Railway Station,Fog,Pleasant,,Moderate,Expressway,3.0,Late Night,Weekday,No,Normal,11/20/2025,2288
Chennai,Adyar (nearby),T Nagar,314.29,Premium,1116.9,12.9972,80.2453,13.0418,80.2341,Residential,Commercial,Clear,Hot,,High,City Road,2.0,Night,Weekday,Yes,Normal,11/21/2025,7240
Delhi,Select Citywalk Mall Saket (nearby),Rohini (nearby),80.67,Mini,85.9,28.5408,77.233,28.7601,77.0537,Mall,Residential,Clear,Pleasant,,Moderate,Highway,2.0,Late Night,Weekday,No,Normal,11/7/2025,1269
Bangalore,Phoenix Marketcity Whitefield,Christ University,206.18,Auto,154.5,12.9974,77.6963,12.9345,77.6069,Mall,College,Fog,Pleasant,,Moderate,Expressway,0.0,Midday,Weekday,No,Normal,4/22/2025,2239
Mumbai,Worli,Juhu,237.37,Auto,531.0,19.0176,72.8162,19.1075,72.8263,Residential,Residential,Cloudy,Pleasant,,Low,City Road,0.0,Morning,Weekday,No,Normal,2/20/2025,2372
Pune,Koregaon Park (nearby),Swargate Bus Stand (nearby),19.53,Sedan,17.4,18.5221,73.8987,18.5076,73.8692,Residential,Bus Stand,Cloudy,Pleasant,,Low,Highway,0.0,Midday,Weekend,Yes,Normal,2/22/2025,553
Mumbai,Lilavati Hospital Bandra,Kokilaben Hospital Andheri,243.41,Premium,664.3,19.0509,72.8259,19.13,72.83,Hospital,Hospital,Clear,Pleasant,,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,7/24/2025,5211
Mumbai,Lower Parel,Lilavati Hospital Bandra,69.04,SUV,64.9,19.0,72.83,19.0509,72.8259,Commercial,Hospital,Rain,Pleasant,Light,Low,Highway,1.0,Evening Rush,Weekend,No,Normal,7/13/2025,1688
Pune,Kalyani Nagar (nearby),Swargate Bus Stand,26.96,Premium,24.9,18.5525,73.8911,18.501,73.8607,Residential,Bus Stand,Cloudy,Warm,,Moderate,Highway,5.0,Morning Rush,Weekday,No,Normal,6/20/2025,1086
Bangalore,Whitefield IT Park,Jayanagar,379.61,Mini,332.6,12.9698,77.75,12.925,77.5938,IT Park,Residential,Clear,Cold,,Low,Highway,0.0,Late Night,Weekday,No,Normal,11/4/2025,4057
Mumbai,Ghatkopar Metro Station,Bandra Kurla Complex (BKC),386.29,XL,2081.1,19.0857,72.9086,19.0665,72.8697,Metro Station,IT Park,Clear,Warm,,Severe,City Road,0.0,Late Night,Weekday,No,Normal,11/17/2025,7818
Mumbai -> Pune,St. Xavier's College,Juhu,323.55,Go,267.4,18.9467,72.8296,19.1075,72.8263,College,Residential,Clear,Hot,,Low,Highway,2.0,Late Night,Weekday,Yes,Normal,1/9/2025,3093
Mumbai,Lower Parel (nearby),Thane (nearby),122.54,Mini,626.4,19.0089,72.8337,19.214,72.966,Commercial,Residential,Rain,Cold,Moderate,Severe,City Road,2.0,Late Night,Weekday,No,Normal,12/5/2025,1949
Hyderabad,Jubilee Hills,Ameerpet,39.97,Mini,39.6,17.4326,78.4071,17.4374,78.4487,Residential,Commercial,Clear,Hot,,Moderate,Highway,0.0,Night,Weekend,No,Normal,10/12/2025,674
Delhi,Connaught Place,Anand Vihar ISBT,274.01,Premium,295.2,28.6315,77.2167,28.6469,77.3152,Commercial,Bus Stand,Clear,Warm,,Moderate,Highway,2.0,Midday,Weekday,Yes,Public Holiday,4/2/2025,6065
Pune,Sassoon General Hospital,Ruby Hall Clinic,176.62,Mini,615.2,18.5195,73.8664,18.5362,73.8785,Hospital,Hospital,Clear,Pleasant,,High,City Road,0.0,Morning Rush,Weekday,Yes,Normal,12/15/2025,2197
Chennai,Adyar,OMR IT Corridor Sholinganallur,49.69,Sedan,47.4,13.0064,80.2565,12.901,80.2279,Residential,IT Park,Rain,Cold,Moderate,Low,Highway,0.0,Morning,Weekend,Yes,Public Holiday,11/23/2025,1146
Pune,Magarpatta Cybercity (nearby),EON IT Park Kharadi,198.58,Bike,686.0,18.5298,73.9189,18.5515,73.9345,IT Park,IT Park,Cloudy,Pleasant,,High,City Road,1.0,Late Night,Weekday,No,Normal,8/11/2025,1792
Delhi,Rajiv Chowk Metro Station,Rajiv Chowk Metro Station (nearby),14.72,Mini,32.7,28.6328,77.2197,28.6394,77.2109,Metro Station,Metro Station,Clear,Very Hot,,Low,City Road,0.0,Evening,Weekday,No,Major Event,11/19/2025,544
Hyderabad,Ameerpet,Secunderabad Railway Station,363.82,Bike,777.9,17.4374,78.4487,17.4344,78.5017,Commercial,Railway Station,Cloudy,Warm,,Low,City Road,0.0,Evening Rush,Weekday,No,Major Event,11/24/2025,3438
Mumbai -> Surat,"Borivali, Mumbai",Surat City Centre,104.25,Bike,83.9,19.2307,72.8567,21.1702,72.8311,Commercial,Residential,Clear,Very Hot,,Moderate,Expressway,0.0,Night,Weekday,No,Normal,4/11/2025,1101
Bangalore,Electronic City,Kempegowda Bus Station (Majestic),265.35,Black,195.6,12.8452,77.6602,12.9767,77.5713,IT Park,Bus Stand,Cloudy,Warm,,Moderate,Expressway,0.0,Midday,Weekend,Yes,Normal,7/5/2025,7777
Mumbai,Lower Parel (nearby),Bandra (nearby),125.37,Auto,447.5,19.0089,72.8337,19.0613,72.8223,Commercial,Residential,Clear,Hot,,High,City Road,1.0,Evening Rush,Weekday,Yes,Public Holiday,6/10/2025,1949
Pune,Pimpri,Shivajinagar Railway Station,208.51,Sedan,560.9,18.6298,73.7997,18.5308,73.8475,Commercial,Railway Station,Clear,Warm,,Moderate,City Road,1.0,Midday,Weekday,No,Major Event,10/1/2025,3352
Mumbai,,Thane (nearby),219.14,Premium,453.0,19.0753,72.8758,19.214,72.966,Mall,Residential,Cloudy,Pleasant,,Low,City Road,1.0,Night,Weekday,No,Normal,3/28/2025,5241
Bangalore,Byappanahalli Metro Station,RV College of Engineering,74.76,Mini,243.9,12.9915,77.6376,12.9237,77.4989,Metro Station,College,Clear,Pleasant,,High,City Road,1.0,Morning Rush,Weekday,No,Major Event,2/12/2025,1489
Pune,Wakad,Savitribai Phule Pune University,387.86,Bike,289.0,18.598,73.7629,18.5529,73.8256,Residential,College,Clear,Hot,,High,Expressway,1.0,Midday,Weekend,Yes,Normal,8/30/2025,3378
Bangalore,Phoenix Marketcity Whitefield,Orion Mall,310.28,Bike,306.0,12.9974,77.6963,13.0108,77.5551,Mall,Mall,Cloudy,Very Hot,,High,Highway,0.0,Midday,Weekday,No,Normal,3/18/2025,2729
Mumbai,Virar,Mumbai Central Bus Depot,375.86,,281.8,19.455,72.8112,18.972,72.8194,Residential,Bus Stand,Clear,Pleasant,,Low,Expressway,0.0,Late Night,Weekday,No,Normal,4/30/2025,4071
Pune,Viman Nagar,Shivajinagar Railway Station,358.04,Sedan,1190.2,18.5679,73.9143,18.5308,73.8475,Residential,Railway Station,Clear,Pleasant,,High,City Road,3.0,Morning Rush,Weekday,No,Normal,10/30/2025,5149
Bangalore,Manipal Hospital Old Airport Road (nearby),Jayanagar,239.56,Auto,245.9,12.9667,77.6281,12.925,77.5938,Hospital,Residential,Clear,Hot,,High,Highway,1.0,Midday,Weekday,Yes,Public Holiday,7/17/2025,2852
Pune,Baner,Kalyani Nagar (nearby),368.83,Sedan,418.6,18.5596,73.7768,18.5525,73.8911,Residential,Residential,Fog,Pleasant,,High,Highway,2.0,Midday,Weekend,Yes,Public Holiday,2/1/2025,5245
Delhi,Rohini (nearby),Select Citywalk Mall Saket,36.31,Auto,100.4,28.7601,77.0537,28.5285,77.219,Residential,Mall,Clear,Warm,,Severe,Rural Road,0.0,Late Night,Weekday,No,Normal,10/3/2025,763
Delhi,Select Citywalk Mall Saket (nearby),AIIMS Delhi,79.2,Bike,166.5,28.5408,77.233,28.5672,77.21,Mall,Hospital,Clear,Pleasant,,Low,City Road,1.0,Midday,Weekday,Yes,Festival,4/16/2025,1018
Mumbai,Malad,Infiniti Mall Malad,19.05,Mini,46.8,19.1875,72.8489,19.1759,72.8397,Residential,Mall,Clear,Cold,,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,3/7/2025,405
Mumbai,Andheri Metro Station (nearby),Mumbai University Kalina,130.81,Bike,128.0,19.1056,72.8366,19.0728,72.8826,Metro Station,College,Clear,Very Hot,,Low,Highway,0.0,Evening,Weekday,No,Normal,2/26/2025,1235
Pune,Phoenix Marketcity Mall,Magarpatta Cybercity,156.08,XL,582.9,18.561,73.9169,18.5158,73.9291,Mall,IT Park,Cloudy,Hot,,High,City Road,6.0,Late Night,Weekend,No,Normal,3/29/2025,3192
Pune,Phoenix Marketcity Mall,Koregaon Park,109.27,Premium,115.0,18.561,73.9169,18.5362,73.8938,Mall,Residential,Clear,Pleasant,,Moderate,Highway,1.0,Late Night,Weekend,Yes,Major Event,4/26/2025,2901
Bangalore,MG Road Metro Station,Silk Board Junction,331.67,Auto,320.7,12.9757,77.608,12.9172,77.6228,Metro Station,Commercial,Clear,Pleasant,,Moderate,Highway,0.0,Morning Rush,Weekend,No,Normal,11/30/2025,3556
Bangalore,Koramangala,Koramangala 1st Block,143.34,Bike,148.2,12.9352,77.6146,12.928,77.622,Residential,Residential,Clear,Pleasant,,Moderate,Highway,3.0,Midday,Weekend,No,Normal,8/16/2025,1331
Pune,Swargate Bus Stand (nearby),Shivajinagar Railway Station,113.09,Go,276.7,18.5076,73.8692,18.5308,73.8475,Bus Stand,Railway Station,Clear,Hot,,Moderate,City Road,0.0,Late Night,Weekday,Yes,Normal,12/4/2025,1267
Pune,FC Road,Fergusson College,217.54,SUV,214.2,18.5236,73.8412,18.5236,73.838,Commercial,College,Clear,Warm,,High,Highway,1.0,Late Night,Weekend,No,Normal,4/12/2025,4060
Pune,Koregaon Park,Hinjewadi IT Park Phase 1,57.23,Comfort,273.0,18.5362,73.8938,18.5913,73.7389,Residential,IT Park,Clear,Pleasant,,Severe,City Road,1.0,Evening Rush,Weekday,Yes,Normal,7/14/2025,1277
Bangalore,MG Road Metro Station,Indiranagar,321.08,Bike,685.4,12.9757,77.608,12.9719,77.6412,Metro Station,Residential,Clear,Pleasant,,Low,City Road,3.0,Late Night,Weekday,No,Normal,9/2/2025,2814
Bangalore -> Chennai,"Electronic City, Bangalore","T Nagar, Chennai",30.75,Sedan,24.6,12.8452,77.6602,13.0418,80.2341,Commercial,Residential,Clear,Very Hot,,High,Expressway,0.0,Morning,Weekday,No,Normal,2/14/2025,675
Pune,Hinjewadi IT Park Phase 2,Viman Nagar,394.77,SUV,389.9,18.585,73.7307,18.5679,73.9143,IT Park,Residential,Cloudy,Cold,,Moderate,Highway,0.0,Evening Rush,Weekend,No,Normal,10/12/2025,6343
Bangalore,Manipal Hospital Old Airport Road,Byappanahalli Metro Station,309.13,Bike,275.8,12.9583,77.6408,12.9915,77.6376,Hospital,Metro Station,Rain,Cold,Moderate,Moderate,Highway,4.0,Evening,Weekend,Yes,Normal,2/23/2025,3227
Pune,Ruby Hall Clinic,Fergusson College,80.29,Comfort,415.3,18.5362,73.8785,18.5236,73.838,Hospital,College,Clear,Pleasant,,Severe,City Road,2.0,Evening Rush,Weekday,No,Normal,3/28/2025,1571
Delhi,Connaught Place,JNU,3.2,Auto,8.7,28.6315,77.2167,28.5383,77.1641,Commercial,College,Rain,Pleasant,Moderate,Moderate,City Road,0.0,Midday,Weekday,Yes,Normal,1/10/2025,527
Hyderabad,Apollo Hospital Jubilee Hills,Ameerpet (nearby),326.37,Sedan,317.8,17.4272,78.4076,17.4472,78.434,Hospital,Commercial,Cloudy,Cold,,Moderate,Highway,0.0,Night,Weekend,No,Normal,5/3/2025,4878
Delhi,Vasant Kunj (nearby),JNU,283.04,XL,620.7,28.5143,77.1618,28.5383,77.1641,Residential,College,Clear,Pleasant,,Low,City Road,0.0,Morning Rush,Weekday,No,Normal,4/28/2025,5225
Hyderabad,Inorbit Mall HITEC City,HITEC City,291.87,SUV,249.3,17.4344,78.3821,17.4483,78.3915,Mall,IT Park,Clear,Pleasant,,Low,Highway,1.0,Evening Rush,Weekend,No,Normal,12/28/2025,4839
Delhi,Vasant Kunj,Rajiv Chowk Metro Station (nearby),308.74,Auto,322.0,28.52,77.159,28.6394,77.2109,Residential,Metro Station,Fog,Pleasant,,Moderate,Highway,3.0,Morning Rush,Weekend,Yes,Public Holiday,4/19/2025,3952
Pune,Kothrud,Camp (Pune Camp),30.54,Bike,81.5,18.5074,73.8077,18.5122,73.8804,Residential,Commercial,Cloudy,Pleasant,,Moderate,City Road,1.0,Late Night,Weekday,No,Normal,9/10/2025,555
Bangalore,Tumkur City Centre,Jayanagar,144.03,XL,95.3,13.3379,77.1173,12.925,77.5938,Residential,Residential,Cloudy,Pleasant,,Low,Expressway,1.0,Midday,Weekday,No,Normal,3/6/2025,2881
Pune,Savitribai Phule Pune University,Civil Court Metro Station,47.23,Mini,44.2,18.5529,73.8256,18.53,73.856,College,Metro Station,Clear,Hot,,Moderate,Highway,3.0,Evening,Weekday,Yes,Normal,7/9/2025,911
Pune,Pune Railway Station,Baner,345.38,Bike,928.7,18.5285,73.8744,18.5596,73.7768,Railway Station,Residential,Clear,Pleasant,,Moderate,City Road,1.0,Evening Rush,Weekend,Yes,Public Holiday,6/21/2025,3394
Hyderabad,Jubilee Hills,MGBS Bus Station,249.7,Mini,288.3,17.4326,78.4071,17.3753,78.4936,Residential,Bus Stand,Clear,Pleasant,,High,Highway,1.0,Midday,Weekday,No,Normal,4/3/2025,2908
Chennai,Koyambedu (CMBT) Bus Stand,Chennai International Airport,133.03,Auto,274.9,13.07,80.1959,12.9941,80.1709,Bus Stand,Airport,Heavy Rain,Pleasant,Heavy,Low,City Road,0.0,Evening Rush,Weekday,Yes,Festival,10/20/2025,2211
Mumbai,Thane (nearby),Worli,26.36,XL,24.8,19.214,72.966,19.0176,72.8162,Residential,Residential,Heavy Rain,Cold,Heavy,Moderate,Highway,0.0,Evening Rush,Weekday,Yes,Normal,2/5/2025,1306
Mumbai,Andheri,Ghatkopar Metro Station,125.08,Sedan,702.6,19.1197,72.8468,19.0857,72.9086,Commercial,Metro Station,Clear,Hot,,Severe,City Road,4.0,Evening Rush,Weekend,No,Normal,5/3/2025,2185
Chennai,AG-DMS Metro Station,Koyambedu (CMBT) Bus Stand,130.75,Mini,354.3,13.0475,80.2437,13.07,80.1959,Metro Station,Bus Stand,Clear,Hot,,Moderate,City Road,0.0,Night,Weekend,No,Normal,8/3/2025,1517
Bangalore,Hebbal,Koramangala 1st Block,292.11,Mini,202.5,13.0358,77.597,12.928,77.622,Residential,Residential,Clear,Hot,,Low,Expressway,0.0,Night,Weekday,Yes,Normal,12/19/2025,3446
Chennai,Adyar,Anna Nagar,255.39,Mini,250.8,13.0064,80.2565,13.085,80.2101,Residential,Residential,Cloudy,Warm,,Moderate,Highway,0.0,Evening,Weekend,Yes,Normal,10/26/2025,2942
Hyderabad,Jubilee Hills (nearby),Gachibowli IT Park (nearby),355.0,Auto,703.5,17.428,78.4169,17.4298,78.3343,Residential,IT Park,Cloudy,Cold,,Low,City Road,0.0,Night,Weekday,Yes,Normal,4/17/2025,3642
Mumbai,Thane (nearby),Dadar Railway Station,189.41,Sedan,407.4,19.214,72.966,19.0186,72.844,Residential,Railway Station,Cloudy,Cold,,Low,City Road,0.0,Midday,Weekday,Yes,Normal,9/30/2025,2846
Chennai,Velachery,Phoenix Marketcity Chennai (nearby),48.72,XL,99.6,12.9791,80.2211,12.9994,80.2172,Residential,Mall,Clear,Pleasant,,Low,City Road,0.0,Morning Rush,Weekday,Yes,Normal,1/20/2025,1136
Pune,Sassoon General Hospital,Camp (Pune Camp),285.58,Auto,307.7,18.5195,73.8664,18.5122,73.8804,Hospital,Commercial,Clear,Warm,,Moderate,Highway,0.0,Midday,Weekday,Yes,Normal,8/28/2025,3010
Delhi,Saket (nearby),AIIMS Delhi,304.55,Bike,796.4,28.5189,77.1967,28.5672,77.21,Residential,Hospital,Clear,Hot,,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,10/17/2025,2590
Delhi,Delhi University North Campus,Kashmere Gate ISBT (nearby),224.95,Mini,471.1,28.6875,77.2094,28.6699,77.2166,College,Bus Stand,Rain,Pleasant,Heavy,Low,City Road,2.0,Evening Rush,Weekday,No,Normal,9/22/2025,3081
Mumbai,Ghatkopar Metro Station,Andheri,308.62,Sedan,656.2,19.0857,72.9086,19.1197,72.8468,Metro Station,Commercial,Clear,Warm,,Low,City Road,0.0,Late Night,Weekend,No,Normal,11/29/2025,4235
Bangalore,Malleswaram,Koramangala,198.02,Bike,192.4,13.0037,77.573,12.9352,77.6146,Residential,Residential,Cloudy,Pleasant,,Low,Highway,0.0,Night,Weekday,No,Normal,5/19/2025,1699
Chennai,Adyar,Anna Nagar,209.57,Auto,240.7,13.0064,80.2565,13.085,80.2101,Residential,Residential,Clear,Very Hot,,High,Highway,1.0,Midday,Weekday,No,Normal,12/4/2025,2239
Pune,Savitribai Phule Pune University,Hinjewadi IT Park Phase 2,171.59,Auto,595.0,18.5529,73.8256,18.585,73.7307,College,IT Park,Clear,Warm,,High,City Road,0.0,Night,Weekday,Yes,Normal,10/10/2025,1974
Bangalore,MG Road Metro Station,Manyata Tech Park,11.14,Bike,12.6,12.9757,77.608,13.045,77.62,Metro Station,IT Park,Fog,Pleasant,,High,Highway,0.0,Night,Weekday,No,Normal,11/13/2025,444
Delhi,Cyber City Gurgaon,DLF Mall of India Noida,44.05,Auto,54.2,28.4949,77.0891,28.5679,77.326,IT Park,Mall,Fog,Warm,,Severe,Highway,1.0,Midday,Weekday,No,Normal,4/23/2025,805
Mumbai -> Pune,Dadar Railway Station,Bandra Kurla Complex (BKC),13.54,Go,13.3,19.0186,72.844,19.0665,72.8697,Railway Station,IT Park,Clear,Warm,,Moderate,Highway,2.0,Midday,Weekday,Yes,Normal,9/30/2025,495
Pune,Savitribai Phule Pune University,Civil Court Metro Station,254.93,SUV,180.0,18.5529,73.8256,18.53,73.856,College,Metro Station,Clear,Pleasant,,Moderate,Expressway,5.0,Evening Rush,Weekday,No,Normal,3/12/2025,4523
Chennai,Adyar,T Nagar,126.43,Auto,329.6,13.0064,80.2565,13.0418,80.2341,Residential,Commercial,Clear,Pleasant,,Moderate,City Road,0.0,Evening Rush,Weekday,Yes,Public Holiday,6/4/2025,1612
Pune,Phoenix Marketcity Mall,Ruby Hall Clinic,203.92,Auto,679.2,18.561,73.9169,18.5362,73.8785,Mall,Hospital,Clear,Pleasant,,High,City Road,5.0,Evening Rush,Weekday,No,Normal,7/23/2025,2555
Pune,Kalyani Nagar (nearby),Hadapsar,363.12,SUV,352.6,18.5525,73.8911,18.5089,73.926,Residential,Commercial,Cloudy,Very Hot,,Low,Highway,1.0,Evening Rush,Weekday,No,Normal,7/30/2025,6045
Delhi,Kashmere Gate ISBT (nearby),Noida Sector 62 IT Park,100.47,Bike,255.5,28.6699,77.2166,28.627,77.372,Bus Stand,IT Park,Clear,Warm,,Moderate,City Road,0.0,Morning,Weekday,No,Normal,11/19/2025,977
Hyderabad,Forum Sujana Mall Kukatpally,Secunderabad Railway Station,164.74,Auto,194.4,17.493,78.4085,17.4344,78.5017,Mall,Railway Station,Clear,Cold,,High,Highway,5.0,Night,Weekday,No,Normal,10/14/2025,1956
Mumbai,St. Xavier's College,Phoenix Marketcity Kurla,302.46,Bike,245.8,18.9467,72.8296,19.0862,72.889,College,Mall,Rain,Warm,Light,High,Expressway,0.0,Morning Rush,Weekday,Yes,Normal,11/17/2025,3135
Mumbai,Chhatrapati Shivaji Maharaj Terminus (nearby),Lower Parel,92.29,Auto,248.3,18.9296,72.8438,19.0,72.83,Railway Station,Commercial,Cloudy,Warm,,Moderate,City Road,0.0,Midday,Weekday,No,Normal,12/26/2025,1167
Chennai,Anna University (nearby),Velachery,31.71,SUV,83.9,13.0078,80.2391,12.9791,80.2211,College,Residential,Heavy Rain,Pleasant,Moderate,Moderate,City Road,0.0,Midday,Weekday,Yes,Normal,8/4/2025,1092
Bangalore,Koramangala,Orion Mall,116.61,Premium,569.0,12.9352,77.6146,13.0108,77.5551,Residential,Mall,Cloudy,Pleasant,,Severe,City Road,1.0,Night,Weekday,No,Normal,2/14/2025,2847
Pune,Hinjewadi IT Park Phase 2,Pune Railway Station (nearby),65.33,Comfort,167.4,18.585,73.7307,18.5353,73.8681,IT Park,Railway Station,Clear,Cold,,Moderate,City Road,2.0,Night,Weekday,No,Normal,11/24/2025,1124
Pune,Pune Airport (Lohegaon),EON IT Park Kharadi,371.95,Auto,373.2,18.5793,73.9089,18.5515,73.9345,Airport,IT Park,Clear,Warm,,High,Highway,0.0,Midday,Weekday,No,Normal,10/9/2025,3987
,Phoenix Marketcity Chennai (nearby),Express Avenue Mall,323.44,Bike,695.1,12.9994,80.2172,13.0594,80.2599,Mall,Mall,Clear,Pleasant,,Low,City Road,1.0,Evening,Weekend,Yes,Public Holiday,10/26/2025,3069
Mumbai,Borivali (nearby),Borivali Bus Depot,253.73,XL,304.3,19.2348,72.844,19.2298,72.857,Residential,Bus Stand,Clear,Pleasant,,Severe,Highway,0.0,Late Night,Weekend,No,Normal,9/27/2025,5281
Pune,Pune Railway Station,Aundh,348.71,Comfort,963.8,18.5285,73.8744,18.559,73.8077,Railway Station,Residential,Clear,Warm,,Moderate,City Road,2.0,Morning Rush,Weekday,Yes,Normal,1/9/2025,4977
