City,Pickup Location,Drop Location,Distance (km),Vehicle Type,Estimated Duration (min),Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude,Pickup Area Type,Drop Area Type,Weather Condition,Temperature Level,Rainfall Intensity,Traffic Level,Road Type,Number of Stops Added,Time Slot,Day Type,Holiday,Busy Day,Trip Date,Fare (Target)
Chennai,Adyar (nearby),T Nagar,6.01,Premium,16.2,12.9972,80.2453,13.0418,80.2341,Residential,Commercial,Clear,Hot,,High,City Road,2.0,Night,Weekday,Yes,Normal,11/21/2025,868
Delhi,Select Citywalk Mall Saket (nearby),Rohini (nearby),40.87,Mini,97.6,28.5408,77.233,28.7601,77.0537,Mall,Residential,Clear,Pleasant,,Moderate,Highway,2.0,Late Night,Weekday,No,Normal,11/7/2025,297
Bangalore,Phoenix Marketcity Whitefield,Christ University,16.5,Auto,46.3,12.9974,77.6963,12.9345,77.6069,Mall,College,Fog,Pleasant,,Moderate,Expressway,0.0,Midday,Weekday,No,Normal,4/22/2025,30
Mumbai,Worli,Juhu,15.09,Auto,39.3,19.0176,72.8162,19.1075,72.8263,Residential,Residential,Cloudy,Pleasant,,Low,City Road,0.0,Morning,Weekday,No,Normal,2/20/2025,259
Pune,Koregaon Park (nearby),Swargate Bus Stand (nearby),5.03,Sedan,9.8,18.5221,73.8987,18.5076,73.8692,Residential,Bus Stand,Cloudy,Pleasant,,Low,Highway,0.0,Midday,Weekend,Yes,Normal,2/22/2025,30
Mumbai,Lilavati Hospital Bandra,Kokilaben Hospital Andheri,10.98,Premium,25.8,19.0509,72.8259,19.13,72.83,Hospital,Hospital,Clear,Pleasant,,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,7/24/2025,403
Mumbai,Lower Parel,Lilavati Hospital Bandra,7.26,SUV,17.1,19.0,72.83,19.0509,72.8259,Commercial,Hospital,Rain,Pleasant,Light,Low,Highway,1.0,Evening Rush,Weekend,No,Normal,7/13/2025,30
Pune,Kalyani Nagar (nearby),Swargate Bus Stand,9.65,Premium,27.9,18.5525,73.8911,18.501,73.8607,Residential,Bus Stand,Cloudy,Warm,,Moderate,Highway,5.0,Morning Rush,Weekday,No,Normal,6/20/2025,304
Bangalore,Whitefield IT Park,Jayanagar,22.17,Mini,29.9,12.9698,77.75,12.925,77.5938,IT Park,Residential,Clear,Cold,,Low,Highway,0.0,Late Night,Weekday,No,Normal,11/4/2025,30
Mumbai,Ghatkopar Metro Station,Bandra Kurla Complex (BKC),5.52,XL,24.7,19.0857,72.9086,19.0665,72.8697,Metro Station,IT Park,Clear,Warm,,Severe,City Road,0.0,Late Night,Weekday,No,Normal,11/17/2025,1424
Mumbai -> Pune,St. Xavier's College,Juhu,24.6,Go,46.7,18.9467,72.8296,19.1075,72.8263,College,Residential,Clear,Hot,,Low,Highway,2.0,Late Night,Weekday,Yes,Normal,1/9/2025,30
Mumbai,Lower Parel (nearby),Thane (nearby),34.49,Mini,146.5,19.0089,72.8337,19.214,72.966,Commercial,Residential,Rain,Cold,Moderate,Severe,City Road,2.0,Late Night,Weekday,No,Normal,12/5/2025,2686
Hyderabad,Jubilee Hills,Ameerpet,5.12,Mini,8.0,17.4326,78.4071,17.4374,78.4487,Residential,Commercial,Clear,Hot,,Moderate,Highway,0.0,Night,Weekend,No,Normal,10/12/2025,30
Delhi,Connaught Place,Anand Vihar ISBT,13.22,Premium,23.7,28.6315,77.2167,28.6469,77.3152,Commercial,Bus Stand,Clear,Warm,,Moderate,Highway,2.0,Midday,Weekday,Yes,Public Holiday,4/2/2025,30
Pune,Sassoon General Hospital,Ruby Hall Clinic,3.05,Mini,12.8,18.5195,73.8664,18.5362,73.8785,Hospital,Hospital,Clear,Pleasant,,High,City Road,0.0,Morning Rush,Weekday,Yes,Normal,12/15/2025,548
Chennai,Adyar,OMR IT Corridor Sholinganallur,15.05,Sedan,23.6,13.0064,80.2565,12.901,80.2279,Residential,IT Park,Rain,Cold,Moderate,Low,Highway,0.0,Morning,Weekend,Yes,Public Holiday,11/23/2025,1600
Pune,Magarpatta Cybercity (nearby),EON IT Park Kharadi,3.51,Bike,9.8,18.5298,73.9189,18.5515,73.9345,IT Park,IT Park,Cloudy,Pleasant,,High,City Road,1.0,Late Night,Weekday,No,Normal,8/11/2025,646
Delhi,Rajiv Chowk Metro Station,Rajiv Chowk Metro Station (nearby),1.55,Mini,4.2,28.6328,77.2197,28.6394,77.2109,Metro Station,Metro Station,Clear,Very Hot,,Low,City Road,0.0,Evening,Weekday,No,Major Event,11/19/2025,2049
Hyderabad,Ameerpet,Secunderabad Railway Station,8.71,Bike,22.7,17.4374,78.4487,17.4344,78.5017,Commercial,Railway Station,Cloudy,Warm,,Low,City Road,0.0,Evening Rush,Weekday,No,Major Event,11/24/2025,30
Mumbai -> Surat,"Borivali, Mumbai",Surat City Centre,284.74,Bike,309.2,19.2307,72.8567,21.1702,72.8311,Commercial,Residential,Clear,Very Hot,,Moderate,Expressway,0.0,Night,Weekday,No,Normal,4/11/2025,3036
Bangalore,Electronic City,Kempegowda Bus Station (Majestic),20.79,Black,25.2,12.8452,77.6602,12.9767,77.5713,IT Park,Bus Stand,Cloudy,Warm,,Moderate,Expressway,0.0,Midday,Weekend,Yes,Normal,7/5/2025,57
Mumbai,Lower Parel (nearby),Bandra (nearby),7.72,Auto,21.7,19.0089,72.8337,19.0613,72.8223,Commercial,Residential,Clear,Hot,,High,City Road,1.0,Evening Rush,Weekday,Yes,Public Holiday,6/10/2025,30
Pune,Pimpri,Shivajinagar Railway Station,18.51,Sedan,55.8,18.6298,73.7997,18.5308,73.8475,Commercial,Railway Station,Clear,Warm,,Moderate,City Road,1.0,Midday,Weekday,No,Major Event,10/1/2025,30
Mumbai,,Thane (nearby),25.14,Premium,49.9,19.0753,72.8758,19.214,72.966,Mall,Residential,Cloudy,Pleasant,,Low,City Road,1.0,Night,Weekday,No,Normal,3/28/2025,646
Bangalore,Byappanahalli Metro Station,RV College of Engineering,21.61,Mini,63.0,12.9915,77.6376,12.9237,77.4989,Metro Station,College,Clear,Pleasant,,High,City Road,1.0,Morning Rush,Weekday,No,Major Event,2/12/2025,1584
Pune,Wakad,Savitribai Phule Pune University,10.78,Bike,32.7,18.598,73.7629,18.5529,73.8256,Residential,College,Clear,Hot,,High,Expressway,1.0,Midday,Weekend,Yes,Normal,8/30/2025,30
Bangalore,Phoenix Marketcity Whitefield,Orion Mall,18.96,Bike,39.7,12.9974,77.6963,13.0108,77.5551,Mall,Mall,Cloudy,Very Hot,,High,Highway,0.0,Midday,Weekday,No,Normal,3/18/2025,1496
Mumbai,Virar,Mumbai Central Bus Depot,64.77,,60.7,19.455,72.8112,18.972,72.8194,Residential,Bus Stand,Clear,Pleasant,,Low,Expressway,0.0,Late Night,Weekday,No,Normal,4/30/2025,960
Pune,Viman Nagar,Shivajinagar Railway Station,12.45,Sedan,52.3,18.5679,73.9143,18.5308,73.8475,Residential,Railway Station,Clear,Pleasant,,High,City Road,3.0,Morning Rush,Weekday,No,Normal,10/30/2025,554
Bangalore,Manipal Hospital Old Airport Road (nearby),Jayanagar,8.35,Auto,22.6,12.9667,77.6281,12.925,77.5938,Hospital,Residential,Clear,Hot,,High,Highway,1.0,Midday,Weekday,Yes,Public Holiday,7/17/2025,30
Pune,Baner,Kalyani Nagar (nearby),16.07,Sedan,57.3,18.5596,73.7768,18.5525,73.8911,Residential,Residential,Fog,Pleasant,,High,Highway,2.0,Midday,Weekend,Yes,Public Holiday,2/1/2025,30
Delhi,Rohini (nearby),Select Citywalk Mall Saket,36.85,Auto,177.1,28.7601,77.0537,28.5285,77.219,Residential,Mall,Clear,Warm,,Severe,Rural Road,0.0,Late Night,Weekday,No,Normal,10/3/2025,1690
Delhi,Select Citywalk Mall Saket (nearby),AIIMS Delhi,5.47,Bike,12.6,28.5408,77.233,28.5672,77.21,Mall,Hospital,Clear,Pleasant,,Low,City Road,1.0,Midday,Weekday,Yes,Festival,4/16/2025,30
Mumbai,Malad,Infiniti Mall Malad,2.04,Mini,6.6,19.1875,72.8489,19.1759,72.8397,Residential,Mall,Clear,Cold,,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,3/7/2025,30
Mumbai,Andheri Metro Station (nearby),Mumbai University Kalina,8.22,Bike,11.0,19.1056,72.8366,19.0728,72.8826,Metro Station,College,Clear,Very Hot,,Low,Highway,0.0,Evening,Weekday,No,Normal,2/26/2025,1854
Pune,Phoenix Marketcity Mall,Magarpatta Cybercity,5.98,XL,35.4,18.561,73.9169,18.5158,73.9291,Mall,IT Park,Cloudy,Hot,,High,City Road,6.0,Late Night,Weekend,No,Normal,3/29/2025,1094
Pune,Phoenix Marketcity Mall,Koregaon Park,4.9,Premium,12.2,18.561,73.9169,18.5362,73.8938,Mall,Residential,Clear,Pleasant,,Moderate,Highway,1.0,Late Night,Weekend,Yes,Major Event,4/26/2025,30
Bangalore,MG Road Metro Station,Silk Board Junction,8.24,Auto,22.6,12.9757,77.608,12.9172,77.6228,Metro Station,Commercial,Clear,Pleasant,,Moderate,Highway,0.0,Morning Rush,Weekend,No,Normal,11/30/2025,30
Bangalore,Koramangala,Koramangala 1st Block,1.0,Bike,2.5,12.9352,77.6146,12.928,77.622,Residential,Residential,Clear,Pleasant,,Moderate,Highway,3.0,Midday,Weekend,No,Normal,8/16/2025,30
Pune,Swargate Bus Stand (nearby),Shivajinagar Railway Station,4.48,Go,11.5,18.5076,73.8692,18.5308,73.8475,Bus Stand,Railway Station,Clear,Hot,,Moderate,City Road,0.0,Late Night,Weekday,Yes,Normal,12/4/2025,30
Pune,FC Road,Fergusson College,1.0,SUV,3.4,18.5236,73.8412,18.5236,73.838,Commercial,College,Clear,Warm,,High,Highway,1.0,Late Night,Weekend,No,Normal,4/12/2025,30
Pune,Koregaon Park,Hinjewadi IT Park Phase 1,22.08,Comfort,101.3,18.5362,73.8938,18.5913,73.7389,Residential,IT Park,Clear,Pleasant,,Severe,City Road,1.0,Evening Rush,Weekday,Yes,Normal,7/14/2025,2047
Bangalore,MG Road Metro Station,Indiranagar,5.27,Bike,20.6,12.9757,77.608,12.9719,77.6412,Metro Station,Residential,Clear,Pleasant,,Low,City Road,3.0,Late Night,Weekday,No,Normal,9/2/2025,30
Bangalore -> Chennai,"Electronic City, Bangalore","T Nagar, Chennai",356.71,Sedan,506.6,12.8452,77.6602,13.0418,80.2341,Commercial,Residential,Clear,Very Hot,,High,Expressway,0.0,Morning,Weekday,No,Normal,2/14/2025,9377
Pune,Hinjewadi IT Park Phase 2,Viman Nagar,27.04,SUV,64.2,18.585,73.7307,18.5679,73.9143,IT Park,Residential,Cloudy,Cold,,Moderate,Highway,0.0,Evening Rush,Weekend,No,Normal,10/12/2025,625
Bangalore,Manipal Hospital Old Airport Road,Byappanahalli Metro Station,4.73,Bike,12.8,12.9583,77.6408,12.9915,77.6376,Hospital,Metro Station,Rain,Cold,Moderate,Moderate,Highway,4.0,Evening,Weekend,Yes,Normal,2/23/2025,2034
Pune,Ruby Hall Clinic,Fergusson College,6.52,Comfort,45.3,18.5362,73.8785,18.5236,73.838,Hospital,College,Clear,Pleasant,,Severe,City Road,2.0,Evening Rush,Weekday,No,Normal,3/28/2025,1671
Delhi,Connaught Place,JNU,14.98,Auto,36.8,28.6315,77.2167,28.5383,77.1641,Commercial,College,Rain,Pleasant,Moderate,Moderate,City Road,0.0,Midday,Weekday,Yes,Normal,1/10/2025,30
Hyderabad,Apollo Hospital Jubilee Hills,Ameerpet (nearby),4.62,Sedan,12.0,17.4272,78.4076,17.4472,78.434,Hospital,Commercial,Cloudy,Cold,,Moderate,Highway,0.0,Night,Weekend,No,Normal,5/3/2025,298
Delhi,Vasant Kunj (nearby),JNU,3.18,XL,6.0,28.5143,77.1618,28.5383,77.1641,Residential,College,Clear,Pleasant,,Low,City Road,0.0,Morning Rush,Weekday,No,Normal,4/28/2025,30
Hyderabad,Inorbit Mall HITEC City,HITEC City,2.05,SUV,4.1,17.4344,78.3821,17.4483,78.3915,Mall,IT Park,Clear,Pleasant,,Low,Highway,1.0,Evening Rush,Weekend,No,Normal,12/28/2025,30
Delhi,Vasant Kunj,Rajiv Chowk Metro Station (nearby),17.54,Auto,38.5,28.52,77.159,28.6394,77.2109,Residential,Metro Station,Fog,Pleasant,,Moderate,Highway,3.0,Morning Rush,Weekend,Yes,Public Holiday,4/19/2025,30
Pune,Kothrud,Camp (Pune Camp),11.06,Bike,35.6,18.5074,73.8077,18.5122,73.8804,Residential,Commercial,Cloudy,Pleasant,,Moderate,City Road,1.0,Late Night,Weekday,No,Normal,9/10/2025,30
Bangalore,Tumkur City Centre,Jayanagar,81.78,XL,161.5,13.3379,77.1173,12.925,77.5938,Residential,Residential,Cloudy,Pleasant,,Low,Expressway,1.0,Midday,Weekday,No,Normal,3/6/2025,1144
Pune,Savitribai Phule Pune University,Civil Court Metro Station,5.93,Mini,13.1,18.5529,73.8256,18.53,73.856,College,Metro Station,Clear,Hot,,Moderate,Highway,3.0,Evening,Weekday,Yes,Normal,7/9/2025,1110
Pune,Pune Railway Station,Baner,14.44,Bike,47.8,18.5285,73.8744,18.5596,73.7768,Railway Station,Residential,Clear,Pleasant,,Moderate,City Road,1.0,Evening Rush,Weekend,Yes,Public Holiday,6/21/2025,30
Hyderabad,Jubilee Hills,MGBS Bus Station,14.87,Mini,50.2,17.4326,78.4071,17.3753,78.4936,Residential,Bus Stand,Clear,Pleasant,,High,Highway,1.0,Midday,Weekday,No,Normal,4/3/2025,30
Chennai,Koyambedu (CMBT) Bus Stand,Chennai International Airport,13.67,Auto,33.7,13.07,80.1959,12.9941,80.1709,Bus Stand,Airport,Heavy Rain,Pleasant,Heavy,Low,City Road,0.0,Evening Rush,Weekday,Yes,Festival,10/20/2025,1544
Mumbai,Thane (nearby),Worli,36.29,XL,101.2,19.214,72.966,19.0176,72.8162,Residential,Residential,Heavy Rain,Cold,Heavy,Moderate,Highway,0.0,Evening Rush,Weekday,Yes,Normal,2/5/2025,2434
Mumbai,Andheri,Ghatkopar Metro Station,11.24,Sedan,51.7,19.1197,72.8468,19.0857,72.9086,Commercial,Metro Station,Clear,Hot,,Severe,City Road,4.0,Evening Rush,Weekend,No,Normal,5/3/2025,918
Chennai,AG-DMS Metro Station,Koyambedu (CMBT) Bus Stand,6.28,Mini,14.3,13.0475,80.2437,13.07,80.1959,Metro Station,Bus Stand,Clear,Hot,,Moderate,City Road,0.0,Night,Weekend,No,Normal,8/3/2025,30
Bangalore,Hebbal,Koramangala 1st Block,15.85,Mini,30.4,13.0358,77.597,12.928,77.622,Residential,Residential,Clear,Hot,,Low,Expressway,0.0,Night,Weekday,Yes,Normal,12/19/2025,30
Chennai,Adyar,Anna Nagar,12.77,Mini,28.4,13.0064,80.2565,13.085,80.2101,Residential,Residential,Cloudy,Warm,,Moderate,Highway,0.0,Evening,Weekend,Yes,Normal,10/26/2025,30
Hyderabad,Jubilee Hills (nearby),Gachibowli IT Park (nearby),10.18,Auto,21.3,17.428,78.4169,17.4298,78.3343,Residential,IT Park,Cloudy,Cold,,Low,City Road,0.0,Night,Weekday,Yes,Normal,4/17/2025,30
Mumbai,Thane (nearby),Dadar Railway Station,34.68,Sedan,61.3,19.214,72.966,19.0186,72.844,Residential,Railway Station,Cloudy,Cold,,Low,City Road,0.0,Midday,Weekday,Yes,Normal,9/30/2025,30
Chennai,Velachery,Phoenix Marketcity Chennai (nearby),3.28,XL,7.1,12.9791,80.2211,12.9994,80.2172,Residential,Mall,Clear,Pleasant,,Low,City Road,0.0,Morning Rush,Weekday,Yes,Normal,1/20/2025,30
Pune,Sassoon General Hospital,Camp (Pune Camp),1.62,Auto,4.1,18.5195,73.8664,18.5122,73.8804,Hospital,Commercial,Clear,Warm,,Moderate,Highway,0.0,Midday,Weekday,Yes,Normal,8/28/2025,30
Delhi,Saket (nearby),AIIMS Delhi,7.63,Bike,18.0,28.5189,77.1967,28.5672,77.21,Residential,Hospital,Clear,Hot,,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,10/17/2025,81
Delhi,Delhi University North Campus,Kashmere Gate ISBT (nearby),2.7,Mini,6.1,28.6875,77.2094,28.6699,77.2166,College,Bus Stand,Rain,Pleasant,Heavy,Low,City Road,2.0,Evening Rush,Weekday,No,Normal,9/22/2025,345
Mumbai,Ghatkopar Metro Station,Andheri,9.25,Sedan,25.2,19.0857,72.9086,19.1197,72.8468,Metro Station,Commercial,Clear,Warm,,Low,City Road,0.0,Late Night,Weekend,No,Normal,11/29/2025,30
Bangalore,Malleswaram,Koramangala,10.64,Bike,13.5,13.0037,77.573,12.9352,77.6146,Residential,Residential,Cloudy,Pleasant,,Low,Highway,0.0,Night,Weekday,No,Normal,5/19/2025,30
Chennai,Adyar,Anna Nagar,12.5,Auto,30.6,13.0064,80.2565,13.085,80.2101,Residential,Residential,Clear,Very Hot,,High,Highway,1.0,Midday,Weekday,No,Normal,12/4/2025,735
Pune,Savitribai Phule Pune University,Hinjewadi IT Park Phase 2,12.88,Auto,41.8,18.5529,73.8256,18.585,73.7307,College,IT Park,Clear,Warm,,High,City Road,0.0,Night,Weekday,Yes,Normal,10/10/2025,497
Bangalore,MG Road Metro Station,Manyata Tech Park,10.32,Bike,32.4,12.9757,77.608,13.045,77.62,Metro Station,IT Park,Fog,Pleasant,,High,Highway,0.0,Night,Weekday,No,Normal,11/13/2025,1098
Delhi,Cyber City Gurgaon,DLF Mall of India Noida,30.28,Auto,93.9,28.4949,77.0891,28.5679,77.326,IT Park,Mall,Fog,Warm,,Severe,Highway,1.0,Midday,Weekday,No,Normal,4/23/2025,1609
Mumbai -> Pune,Dadar Railway Station,Bandra Kurla Complex (BKC),7.64,Go,20.0,19.0186,72.844,19.0665,72.8697,Railway Station,IT Park,Clear,Warm,,Moderate,Highway,2.0,Midday,Weekday,Yes,Normal,9/30/2025,30
Pune,Savitribai Phule Pune University,Civil Court Metro Station,5.0,SUV,14.5,18.5529,73.8256,18.53,73.856,College,Metro Station,Clear,Pleasant,,Moderate,Expressway,5.0,Evening Rush,Weekday,No,Normal,3/12/2025,173
Chennai,Adyar,T Nagar,4.61,Auto,12.7,13.0064,80.2565,13.0418,80.2341,Residential,Commercial,Clear,Pleasant,,Moderate,City Road,0.0,Evening Rush,Weekday,Yes,Public Holiday,6/4/2025,30
Pune,Phoenix Marketcity Mall,Ruby Hall Clinic,7.14,Auto,36.3,18.561,73.9169,18.5362,73.8785,Mall,Hospital,Clear,Pleasant,,High,City Road,5.0,Evening Rush,Weekday,No,Normal,7/23/2025,564
Pune,Kalyani Nagar (nearby),Hadapsar,8.29,SUV,13.1,18.5525,73.8911,18.5089,73.926,Residential,Commercial,Cloudy,Very Hot,,Low,Highway,1.0,Evening Rush,Weekday,No,Normal,7/30/2025,1056
Delhi,Kashmere Gate ISBT (nearby),Noida Sector 62 IT Park,21.59,Bike,51.8,28.6699,77.2166,28.627,77.372,Bus Stand,IT Park,Clear,Warm,,Moderate,City Road,0.0,Morning,Weekday,No,Normal,11/19/2025,838
Hyderabad,Forum Sujana Mall Kukatpally,Secunderabad Railway Station,14.81,Auto,42.9,17.493,78.4085,17.4344,78.5017,Mall,Railway Station,Clear,Cold,,High,Highway,5.0,Night,Weekday,No,Normal,10/14/2025,789
Mumbai,St. Xavier's College,Phoenix Marketcity Kurla,19.88,Bike,27.6,18.9467,72.8296,19.0862,72.889,College,Mall,Rain,Warm,Light,High,Expressway,0.0,Morning Rush,Weekday,Yes,Normal,11/17/2025,648
Mumbai,Chhatrapati Shivaji Maharaj Terminus (nearby),Lower Parel,10.88,Auto,28.4,18.9296,72.8438,19.0,72.83,Railway Station,Commercial,Cloudy,Warm,,Moderate,City Road,0.0,Midday,Weekday,No,Normal,12/26/2025,30
Chennai,Anna University (nearby),Velachery,4.97,SUV,13.1,13.0078,80.2391,12.9791,80.2211,College,Residential,Heavy Rain,Pleasant,Moderate,Moderate,City Road,0.0,Midday,Weekday,Yes,Normal,8/4/2025,827
Bangalore,Koramangala,Orion Mall,12.82,Premium,83.3,12.9352,77.6146,13.0108,77.5551,Residential,Mall,Cloudy,Pleasant,,Severe,City Road,1.0,Night,Weekday,No,Normal,2/14/2025,2155
Pune,Hinjewadi IT Park Phase 2,Pune Railway Station (nearby),21.56,Comfort,50.7,18.585,73.7307,18.5353,73.8681,IT Park,Railway Station,Clear,Cold,,Moderate,City Road,2.0,Night,Weekday,No,Normal,11/24/2025,425
Pune,Pune Airport (Lohegaon),EON IT Park Kharadi,5.84,Auto,18.7,18.5793,73.9089,18.5515,73.9345,Airport,IT Park,Clear,Warm,,High,Highway,0.0,Midday,Weekday,No,Normal,10/9/2025,30
,Phoenix Marketcity Chennai (nearby),Express Avenue Mall,10.22,Bike,29.4,12.9994,80.2172,13.0594,80.2599,Mall,Mall,Clear,Pleasant,,Low,City Road,1.0,Evening,Weekend,Yes,Public Holiday,10/26/2025,30
Mumbai,Borivali (nearby),Borivali Bus Depot,1.0,XL,3.0,19.2348,72.844,19.2298,72.857,Residential,Bus Stand,Clear,Pleasant,,Severe,Highway,0.0,Late Night,Weekend,No,Normal,9/27/2025,441
Pune,Pune Railway Station,Aundh,10.98,Comfort,38.2,18.5285,73.8744,18.559,73.8077,Railway Station,Residential,Clear,Warm,,Moderate,City Road,2.0,Morning Rush,Weekday,Yes,Normal,1/9/2025,34
